config,concurrency,endpoint,reps,requests,layer_calls_ok,layer_calls_failed,saturated_reps,p50,p90,p97_5,p99,mean,rps,added_p50,added_p90,added_p97_5,added_p99,added_p95_lo,added_p95_hi,rps_ratio,layer_success
EMB,1,reviews,3,793.0,2789,0,0,68.0,85.0,127.0,211.0,74.97,13.22,48.0,60.0,96.0,167.0,54.0,102.0,0.2895947426067908,1.0
HYB,1,reviews,3,815.0,2906,0,0,65.0,82.0,113.0,228.0,72.93,13.59,45.0,57.0,82.0,184.0,51.0,88.0,0.29769989047097484,1.0
SLM,1,reviews,3,104.0,366,0,0,554.0,620.0,729.0,840.0,572.54,1.74,534.0,595.0,698.0,796.0,589.0,704.0,0.03811610076670318,1.0
JUDGE,1,reviews,3,7.0,26,0,0,7724.0,10855.0,10855.0,10855.0,8566.15,0.12,7704.0,10830.0,10824.0,10811.0,10824.0,10830.0,0.002628696604600219,1.0
structural,8,courses,3,2897.0,0,0,0,146.0,270.0,322.0,481.0,164.84,48.29,0.0,0.0,0.0,0.0,-52.0,52.0,1.0,
R,8,courses,3,2855.0,9948,0,0,149.0,275.0,317.0,492.0,167.23,47.59,3.0,5.0,-5.0,11.0,-47.0,47.0,0.9855042451853386,1.0
EMB,8,courses,3,1676.0,5692,0,0,272.0,309.0,444.0,600.0,284.99,27.94,126.0,39.0,122.0,119.0,-13.0,174.0,0.5785876993166288,1.0
HYB,8,courses,3,1740.0,6358,0,0,249.0,338.0,453.0,604.0,274.53,29.0,103.0,68.0,131.0,123.0,16.0,183.0,0.6005384137502588,1.0
SLM,8,courses,3,103.0,389,0,0,4295.0,4847.0,7178.0,7711.0,4495.43,1.72,4149.0,4577.0,6856.0,7230.0,4525.0,6908.0,0.03561814040173949,1.0
JUDGE,8,courses,3,0.0,26,0,3,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,0.0,1.0
structural,8,profile,3,2503.0,0,0,0,156.0,294.0,477.0,735.0,190.79,41.72,0.0,0.0,0.0,0.0,-183.0,183.0,1.0,
R,8,profile,3,2687.0,9440,0,0,158.0,292.0,341.0,518.0,177.73,44.79,2.0,-2.0,-136.0,-217.0,-185.0,47.0,1.0735858101629914,1.0
EMB,8,profile,3,1233.0,4493,0,0,355.0,441.0,787.0,1093.0,387.35,20.55,199.0,147.0,310.0,358.0,-36.0,493.0,0.4925695110258869,1.0
HYB,8,profile,3,1377.0,4703,0,0,325.0,391.0,752.0,1056.0,346.91,22.95,169.0,97.0,275.0,321.0,-86.0,458.0,0.5500958772770853,1.0
SLM,8,profile,3,101.0,382,0,0,4354.0,5237.0,7257.0,8087.0,4590.34,1.69,4198.0,4943.0,6780.0,7352.0,4760.0,6963.0,0.040508149568552254,1.0
JUDGE,8,profile,3,23.0,113,0,0,14438.0,22141.0,23951.0,23951.0,17784.44,0.39,14282.0,21847.0,23474.0,23216.0,21664.0,23657.0,0.009348034515819751,1.0
structural,8,reviews,3,2738.0,0,0,0,155.0,290.0,333.0,465.0,173.77,45.64,0.0,0.0,0.0,0.0,-43.0,43.0,1.0,
R,8,reviews,3,2631.0,9097,0,0,161.0,295.0,347.0,561.0,181.05,43.85,6.0,5.0,14.0,96.0,-38.0,57.0,0.9607800175284839,1.0
EMB,8,reviews,3,962.0,3442,0,0,443.0,562.0,1084.0,2050.0,496.69,16.04,288.0,272.0,751.0,1585.0,229.0,794.0,0.35144609991235753,1.0
HYB,8,reviews,3,1060.0,3909,0,0,425.0,523.0,729.0,832.0,450.25,17.67,270.0,233.0,396.0,367.0,190.0,439.0,0.38716038562664334,1.0
SLM,8,reviews,3,101.0,383,0,0,4365.0,4676.0,7513.0,8048.0,4568.38,1.69,4210.0,4386.0,7180.0,7583.0,4343.0,7223.0,0.03702892199824715,1.0
JUDGE,8,reviews,3,0.0,28,0,2,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,0.0,1.0
